time,CRD_Reactivity,CRD_pos:value,CSPumpPower:value,CoreHeatLoadDiff:value,Core_flow,IHX_energy,IHX_primary_in_P,IHX_primary_in_T,IHX_primary_out_P,IHX_primary_out_t,IHX_secondary_in_P,IHX_secondary_in_T,IHX_secondary_out_P,IHX_secondary_out_t,InDiff:value,InPID:value,MoveBC:value,OutDff:value,OutPID:value,PumpPower-Secondary:value,SGHeatLoadDiff:value,SGPID:value,SG_energy,Total_Reactivity_Feedback,Xenon_Concentration_Reactivity,active-R_moderator_Reactivity,active:fuel-matrix_Fuel_Doppler_Reactivity,active:pebble-core_moderator_Reactivity,active:pebble-shell_moderator_Reactivity,active:pipe_Coolant_Density_Reactivity,coolant_Reactivity,core_energy,core_in_P,core_in_T,core_out_P,core_out_T,diode-flow,doppler_Reactivity,external_Reactivity,flow_diode:VC:DP,flow_diode:VC:P1,flow_diode:VC:P2,moderator_Reactivity,net_Reactivity,pps_reactivity_CRD_group_0,primary_pump_flow,reactor:decay_heat,reflector_Reactivity,run_mem,run_time,secondary_flow,solar_pump_flow,target_power,tau,Branch030:pressure,Branch030:rho,Branch030:temperature,Branch030:velocity,Branch1:pressure,Branch1:rho,Branch1:temperature,Branch1:velocity,Branch260:pressure,Branch260:rho,Branch260:temperature,Branch260:velocity,Branch280:pressure,Branch280:rho,Branch280:temperature,Branch280:velocity,Branch2:pressure,Branch2:rho,Branch2:temperature,Branch2:velocity,Branch3:pressure,Branch3:rho,Branch3:temperature,Branch3:velocity,Branch607:pressure,Branch607:rho,Branch607:temperature,Branch607:velocity,C1,C2,C3,C4,C5,C6,C_I135,C_XE135,C_XE135_0,ColdLegB:pressure,ColdLegB:rho,ColdLegB:temperature,ColdLegB:velocity,ExpansionTank:level,ExpansionTank:pressure,ExpansionTank:rho,ExpansionTank:temperature,ExpansionTank:velocity,ExpansionTank:volume,HX-in:pressure,HX-in:rho,HX-in:temperature,HX-in:velocity,HX-out:pressure,HX-out:rho,HX-out:temperature,HX-out:velocity,HXInletB:pressure,HXInletB:rho,HXInletB:temperature,HXInletB:velocity,HXOutletB:pressure,HXOutletB:rho,HXOutletB:temperature,HXOutletB:velocity,HotLegB:pressure,HotLegB:rho,HotLegB:temperature,HotLegB:velocity,NORM_C_I135,NORM_C_XE135,Pf,Pump:pressure,Pump:pump_RPM,Pump:pump_head,Pump:pump_input,Pump:pump_work_efficiency,Pump:rho,Pump:temperature,Pump:velocity,SG-inB:pressure,SG-inB:rho,SG-inB:temperature,SG-inB:velocity,Solar-pump:pressure,Solar-pump:pump_RPM,Solar-pump:pump_head,Solar-pump:pump_input,Solar-pump:pump_work_efficiency,Solar-pump:rho,Solar-pump:temperature,Solar-pump:velocity,cover_gas2:pressure,flow_diode:pressure,flow_diode:rho,flow_diode:temperature,flow_diode:velocity,reactor:power
0,0,1.309676929559,19645.57845342,-2.5110406017942e-05,1147.4021545562,112809775.47619,394936.00039368,923.00380845784,387701.7491615,822.0016912683,967993.37688452,773.15132860419,965252.08770735,882.79936658421,-0.0011319656100568,-47467.477993721,15500.07073338,-0.0011301522387157,5406.6220834195,149039.26600628,0.00022231446989604,0.070733380354503,279941560.79359,-5.9334191732251e-08,6.8634818559e-11,5.4789515617267e-08,-7.8618549862098e-08,-1.791142035845e-08,-1.4110761586028e-08,-3.5516103615009e-09,-3.5516103615009e-09,279868918.38496,501530.6176105,822.03406294783,152338.19995612,923.00142227975,-1.2832418957536e-09,-7.8618549862098e-08,0,-247853.60672185,139469.40188258,387323.00860442,-3.2022181944478e-08,-5.9334191732251e-08,0,1147.4020330681,18838419.540558,5.4789515617267e-08,159,2.63772723,-1659.5118740692,1659.5118364404,280000000,0,149233.14391106,1962.7913193857,923.00385371784,2.3156188766714,463359.59923165,2012.0645920682,822.03403264711,0.87295800774365,134909.33003151,1962.7962574286,922.99373477756,2.2125574042377,504083.44857296,2012.0645774244,822.03406265486,0.42957165432748,446070.50129028,2012.064772804,822.03366228682,0.48190379640394,351362.20860569,1962.7720273419,923.04338659439,0.32305279920425,386148.45830926,2012.0804999866,822.00143445367,1.2088970155725,49.13847501317,115.2505436281,27.927296511265,24.34472154563,3.7252301624365,0.44428547801139,1.3319421739585e+15,3.0237373864545e+14,3.0237374813064e+14,386512.56074007,2012.0803829956,822.00167418939,1.2088970282906,0.61929838425779,129040.49623767,1963.4634764086,921.62648276924,1.6788115122332e-07,1.1192983842578,965645.80743655,1771.9993602653,773.15100587222,1.8032718220173,962808.3470872,1702.2626551696,882.7999132553,1.8771466038014,392391.94836504,1962.7963701898,922.99350370946,1.8271296666396,385022.93273604,2012.0803728864,822.00169490493,1.7823759172856,134819.20934012,1962.7962878595,922.99367241909,2.2125568576494,1.000000008282,0.99999996854052,1.0000269217031,394423.13119757,1595.1190867936,256958.9350492,19645.57845342,7.6460880161177,1962.7963281921,922.9935897703,1.2392513372023,963799.64218771,1702.2625296867,882.80011055544,1.3999698532763,965660.36017153,3386.4927517663,723676.79132201,149039.26600628,4.5473734482146,1771.9996796299,773.15050372652,1.8032714621263,117123.99257421,985878.30500645,2011.628637407,822.92738236267,1.0395338814758e-318,280007030.91369
22.252154295383,-3.5023943990355e-06,1.3097474558399,19644.77564629,0.0001894639760358,1147.3949667776,112801897.62316,394925.29749447,922.99190385247,387691.22082744,822.0003005286,967993.38305259,773.15032436711,965252.06767767,882.79375026393,-0.0014407018886686,-47465.226185213,15500.07095224,0.0032239838005808,5405.81927629,149041.51781479,0.00021417278348463,0.070952240444148,279935279.44185,1.728688773456e-07,-2.0374892693843e-09,5.98263259953e-08,2.3179430953526e-06,7.078217879957e-07,4.5933606424969e-07,1.323734920572e-07,1.323734920572e-07,279809235.75636,501520.22471866,822.03425484294,152330.22059314,922.98052451285,-1.2672976623091e-09,2.3179430953526e-06,0,-247851.21702561,139461.32785598,387312.54488159,1.1671578522454e-06,1.728688773456e-07,-3.5023943990355e-06,1147.3964411664,18834672.769996,5.98263259953e-08,174,7.479923332,-1659.5216214366,1659.5216219165,280000000,22.252154295383,149225.22381971,1962.8015174877,922.98295596786,2.3155948670916,463349.56783808,2012.0644748783,822.03427279047,0.87295257955238,134901.34263438,1962.8055946513,922.97460112447,2.2125327904383,504073.04833723,2012.0644839198,822.03425426274,0.42956898525494,446060.58238846,2012.0646341066,822.03394650277,0.48190080089194,351352.02606392,1962.7879247172,923.01081000568,0.32304879766223,386138.0129975,2012.0806565158,822.00111369717,1.2088894356828,49.133389617223,115.22664332795,27.917316589509,24.337832260037,3.7246862725835,0.44423606312096,1.3319418256642e+15,3.0237402970738e+14,3.0237374813064e+14,386502.04885507,2012.0810354216,822.00033725083,1.2088894327745,0.61923962655572,129032.43723181,1963.46344601,921.62654506149,-1.7379854451584e-06,1.1192396265557,965645.7823076,1771.9999994807,773.15000081654,1.8032819163352,962808.30238018,1702.2665748469,882.79375024076,1.877152139173,392381.27920552,1962.8021849904,922.98158813435,1.8271152048822,385012.43768182,2012.081053339,822.00030053488,1.7823647004681,134811.21071222,1962.8038770571,922.97812078458,2.2125391501738,0.99999974678849,1.0000009311304,0.9999078375464,394412.43363127,1595.1095561875,256956.24949693,19644.77564629,7.6462597174114,1962.8023284581,922.98129414331,1.2392414750741,963799.63004245,1702.2629127389,882.79950827223,1.3999735988523,965660.33525133,3386.512602398,723685.28225639,149041.51781479,4.547384459931,1772.0000000843,773.14999986749,1.8032819162378,117117.06344054,985878.30500645,2011.628637407,822.92738236267,8.1122120587612e-319,279972183.93655
46.792261727894,-2.8125159701854e-06,1.3097855276197,19637.257035611,0.00028019999907017,1147.2410381589,112783931.52568,394853.34933426,922.98084926153,387620.96520755,821.98708089505,967993.33372787,773.15032397852,965252.03926263,882.77398173547,0.0081805159916257,-47487.019182786,15500.071464463,0.025760268840145,5398.3006656108,149019.72481721,0.00028530413105573,0.071464462630935,279914714.70988,-9.1988314995639e-09,-3.3835306198208e-09,1.2609027973299e-07,1.7860082353974e-06,5.4059593828846e-07,2.8970496288085e-07,6.4301253005942e-08,6.4301253005942e-08,279790350.76374,501450.81404754,822.02822070685,152326.48175209,922.98170391473,-1.2467397898729e-09,1.7860082353974e-06,0,-247785.07037765,139457.19299517,387242.26337282,8.3030090116931e-07,-9.1988314995639e-09,-2.8125159701854e-06,1147.2427501482,18835998.608532,1.2609027973299e-07,174,14.278766349,-1659.5123583182,1659.5123583062,280000000,46.792261727894,149222.50697897,1962.8009422613,922.98413471044,2.3152810069707,463287.715289,2012.0671978957,822.02869283665,0.87283423338087,134898.49930211,1962.8061358879,922.97349203301,2.2122351003203,504003.48407528,2012.0674287717,822.02821973019,0.42951075572385,446001.04807769,2012.0669904716,822.02911788615,0.48183550445002,351301.48198243,1962.780274455,923.02648677255,0.32300582430288,386068.1269677,2012.0859516306,821.99026305206,1.2087252489101,49.131499048536,115.22391676786,27.919493118902,24.337411350912,3.7240847839302,0.4441496061403,1.3319416017344e+15,3.0237421572746e+14,3.0237374813064e+14,386432.11198785,2012.0874839426,821.98712306837,1.2087252046741,0.6192238958234,129028.31853066,1963.4634378755,921.6265617306,-4.6118490970474e-07,1.1192238958234,965645.75918347,1771.9999998763,773.15000019447,1.8032718504024,962808.31658003,1702.2791476295,882.77398171456,1.8771288367023,392310.01897124,1962.807578088,922.97053670491,1.8268656507948,384942.9019586,2012.0875045268,821.98708088778,1.7821225639677,134808.39711809,1962.8067820411,922.97216794852,2.2122369609432,0.99999957866572,1.0000015463296,0.99971690156293,394340.62556837,1594.8960983901,256888.01865525,19637.257035611,7.6461116755728,1962.8075030507,922.97069046996,1.2390722150219,963799.64750111,1702.2661085379,882.79448343099,1.3999568344679,965660.30985624,3386.4935125757,723677.11749598,149019.72481721,4.5479727813403,1771.9999999137,773.15000013563,1.803271850339,117113.24848493,985878.30500645,2011.628637407,822.92738236267,-1.1555207324935e-319,279923644.63188
71.525114770481,-2.5144802442044e-06,1.3098116818463,19636.570267469,0.00017524894355748,1147.2273692413,112787721.39047,394846.90884469,922.98761736508,387614.70304795,821.98977234847,967993.06121588,773.15006925318,965251.96978218,882.78117182157,0.011463210886063,-47512.031251238,15500.072129893,0.014994030058006,5397.6138974687,148994.71274876,0.00037263654464568,0.072129893399369,279875995.99754,9.3352257795344e-08,-4.6674759802838e-09,1.9233768970184e-07,1.5667040773704e-06,4.7076075399766e-07,2.9064908096228e-07,9.2048375947888e-08,9.2048375947888e-08,279815364.8206,501444.72304013,822.02140074529,152325.4804816,922.98468235584,-1.2267856682394e-09,1.5667040773704e-06,0,-247779.83337801,139456.17106699,387236.004445,7.6140983495994e-07,9.3352257795344e-08,-2.5144802442044e-06,1147.2267016238,18836194.359771,1.9233768970184e-07,174,17.31440806,-1659.4439417385,1659.4439549308,280000000,71.525114770481,149221.58508224,1962.7994889711,922.98711276423,2.3152569040413,463282.20266446,2012.0707819939,822.02134837324,0.87282236018927,134897.58345203,1962.8043890106,922.97707169964,2.2122115043247,503997.38127279,2012.0707561898,822.02140125039,0.42950488936389,445995.68961502,2012.070948312,822.02100755744,0.48182892508049,351296.70238549,1962.780425191,923.02617788731,0.32300226125693,386061.90752819,2012.0865583984,821.9890196754,1.2087088202968,49.130381957991,115.224482419,27.921316547353,24.339974888811,3.7245309461525,0.44420282732888,1.33194138732e+15,3.0237439316602e+14,3.0237374813064e+14,386425.88284225,2012.0862186575,821.98971586582,1.2087087922492,0.61922145996266,129027.29836939,1963.4634366195,921.62656430429,4.8596061919516e-07,1.1192214599627,965645.67902273,1772.0001764668,773.14972253641,1.8031975035244,962808.44047227,1702.2746775526,882.78101013745,1.8770571443493,392303.64688083,1962.8042771989,922.97730082184,1.826843056874,384936.71449195,2012.0862055818,821.9897426602,1.7820983529122,134807.4943806,1962.8043446262,922.97716265113,2.2122115111963,0.99999941768692,1.0000021331483,0.99983781454777,394334.19895358,1594.8779827529,256882.38561176,19636.570267469,7.6461165867564,1962.8042908933,922.97727275953,1.239056847201,963799.70965706,1702.2782330163,882.77541978567,1.399903128906,965660.22816754,3386.3540173158,723617.50047253,148994.71274876,4.5481741490869,1772.0000793421,773.14987524832,1.8031975595632,117112.27503853,985878.30500645,2011.628637407,822.92738236267,-2.2910318063304e-319,279955418.20934
96.444558898946,-2.1472835321454e-06,1.3098366220731,19634.502572054,0.00017185433720244,1147.1833560601,112785331.23622,394830.34843759,922.98981299492,387598.63815559,821.99000895242,967992.86538892,773.1500004952,965251.9480986,882.78284310905,0.0099735757295321,-47525.074054807,15500.073008248,0.013722687250947,5395.546202054,148981.66994519,0.00046897254519292,0.073008248147393,279871319.23276,1.153323337186e-08,-5.6410358460053e-09,2.5883770960263e-07,1.2557592144029e-06,3.8245600153048e-07,2.0798765967292e-07,5.9417216154361e-08,5.9417216154361e-08,279809839.84556,501428.78145534,822.02401737257,152328.10870071,922.98896249069,-1.2036321242706e-09,1.2557592144029e-06,0,-247761.22593922,139458.70367857,387219.92961779,5.9044366120339e-07,1.153323337186e-08,-2.1472835321454e-06,1147.1833392166,18836451.553491,2.5883770960263e-07,174,20.472762316,-1659.3833268132,1659.3833699831,280000000,96.444558898946,149224.49515162,1962.7974008418,922.99139171758,2.3151707500628,463268.48115222,2012.0695190128,822.02393644918,0.87278942036754,134900.4747148,1962.8024365523,922.98107263882,2.2121294549117,503981.39424247,2012.0694795831,822.02401724767,0.42948869440725,445982.65906752,2012.0697163977,822.02353197188,0.48181073266674,351286.28236714,1962.7775075208,923.03215671967,0.32299035607951,386045.94427088,2012.0860864477,821.98998678748,1.2086631979172,49.130265432708,115.22762320275,27.922074081399,24.34001036965,3.7244922078859,0.44419678820978,1.3319412230747e+15,3.0237452770994e+14,3.0237374813064e+14,386409.90750818,2012.0862114752,821.98973058368,1.2086631613083,0.61923709628426,129029.8343098,1963.4634446059,921.62654793881,4.8615767451214e-07,1.1192370962843,965645.65674243,1772.0001919851,773.14969813656,1.8031315465506,962808.59514089,1702.2735666742,882.78275680156,1.8769894713087,392287.27579135,1962.8032120161,922.97948357348,1.8267748072573,384920.85182767,2012.0861603747,821.98983529771,1.7820310872879,134810.38292604,1962.8027654671,922.98039863298,2.2121295184499,0.9999992943743,1.0000025781073,0.99982123040482,394317.67688353,1594.818620255,256863.27404343,19634.502572054,7.6460678502018,1962.8031060848,922.97970064596,1.2390106598729,963799.77960889,1702.2744204525,882.78141438279,1.3998522438382,965660.20509868,3386.230428735,723564.69762005,148981.66994519,4.5480738058186,1772.0001264719,773.14980114473,1.8031315064655,117114.51031259,985878.30500645,2011.628637407,822.92738236267,5.9032939627696e-319,279951344.26207
121.3396482815,-1.8383011700158e-06,1.3098607432265,19634.070234617,0.00015283105767838,1147.1725701496,112787913.24174,394828.01267233,922.99575372946,387596.41303477,821.99223322724,967992.67226627,773.14995604907,965251.92170358,882.78838114002,0.0089764576068774,-47538.261338894,15500.073696249,0.0076974736182365,5395.1138646171,148968.48266111,0.00045536418502331,0.073696249113543,279870146.68034,4.976612255036e-08,-6.5969498691653e-09,3.2498651614455e-07,1.0373397094104e-06,3.2045100350774e-07,1.6434500871761e-07,4.7542004655043e-08,4.7542004655043e-08,279819354.99837,501426.5623375,822.02435672401,152330.43632495,922.99379367179,-1.177696198009e-09,1.0373397094104e-06,0,-247756.67212332,139461.02125114,387217.69337446,4.8479601222535e-07,4.976612255036e-08,-1.8383011700158e-06,1147.171803984,18836497.942277,3.2498651614455e-07,174,23.490035653,-1659.3262580528,1659.3262881153,280000000,121.3396482815,149226.88925554,1962.7950427323,922.99622390925,2.3151516517538,463266.80018197,2012.0693464616,822.02429003777,0.87278129455648,134902.87886833,1962.8000218169,922.98602086706,2.2121110678091,503979.16404718,2012.0693137519,822.02435706576,0.42948468594811,445981.14410433,2012.0695527204,822.0238673762,0.48180624414244,351285.41345153,1962.7755936049,923.03607867845,0.3229876289939,386043.73571763,2012.0854393778,821.99131275033,1.2086519396569,49.130230226838,115.22934691193,27.922404999376,24.340491076839,3.7245838322873,0.44420825947176,1.3319410614368e+15,3.0237465981525e+14,3.0237374813064e+14,386407.70487963,2012.0849924404,821.99222860567,1.2086519204897,0.61925116855707,129032.14977459,1963.463451589,921.626533629,7.167285107403e-07,1.1192511685571,965645.62407609,1772.0002172488,773.14965841386,1.8030694352772,962808.73133089,1702.2701056006,882.78819874126,1.8769290010553,392284.98807847,1962.8002949835,922.98546109932,1.8267593386955,384918.67824226,2012.0849883468,821.99223699435,1.7820144978614,134812.7882652,1962.8001624417,922.98573270144,2.2121110983646,0.99999917301927,1.0000030150014,0.99984883014423,394315.35117955,1594.8045299162,256858.67396552,19634.070234617,7.646034141768,1962.8002844316,922.98548272203,1.2390001044183,963799.84370335,1702.273600677,882.782703338,1.3998069632521,965660.17206852,3386.1138272581,723514.86532341,148968.48266111,4.5480066655155,1772.0001333783,773.14979028577,1.8030694624637,117116.5548145,985878.30500645,2011.628637407,822.92738236267,1.5817017585962e-319,279958598.64242
146.25292970955,-1.5435508621529e-06,1.3098821859437,19633.894797312,0.00014177319459383,1147.1677685433,112788938.23865,394828.97786403,922.99931529547,387597.43437126,821.99465218789,967992.54468975,773.15046494568,965251.91967219,882.79276998413,0.0061521093905412,-47544.259479027,15500.074417313,0.0040185277931641,5394.9384273125,148962.48452097,0.00045741544499738,0.074417313487485,279874134.54653,2.2499325952497e-08,-7.4334437070503e-09,3.9082525620993e-07,7.9716605673688e-07,2.5368198326746e-07,1.0681439217245e-07,2.4995943425711e-08,2.4995943425711e-08,279820919.13156,501427.52208132,822.02738579884,152333.4731611,922.9977070055,-1.1624407843721e-09,7.9716605673688e-07,0,-247754.65134001,139464.06148288,387218.71282289,3.6049637543991e-07,2.2499325952497e-08,-1.5435508621529e-06,1147.1672647798,18836632.318475,3.9082525620993e-07,174,26.454179024,-1659.2828126883,1659.2828060814,280000000,146.25292970955,149229.95253927,1962.7931331038,923.00013708241,2.3151444298695,463268.03947988,2012.0678883801,822.0272779096,0.87277825441298,134905.95325903,1962.7981340507,922.98988924029,2.2121041988695,503980.11793675,2012.0678356244,822.02738601549,0.42948320460609,445982.47618409,2012.0681180944,822.0268071837,0.48180456043394,351287.11527491,1962.7735944553,923.04017529653,0.32298662165413,386044.76618714,2012.08412123,821.99401387302,1.2086477526485,49.130471294052,115.23129262184,27.922829145633,24.340761118385,3.7246149561386,0.4442115885111,1.3319409190698e+15,3.0237477541695e+14,3.0237374813064e+14,386408.73472314,2012.0838391226,821.99459196192,1.2086477593337,0.6192689170073,129035.19020571,1963.4634604099,921.62651555357,6.7366959869494e-07,1.1192689170073,965645.62413291,1771.9999252644,773.15011750882,1.8030222744157,962808.85994958,1702.2670968519,882.79292947814,1.8768829175336,392285.96966575,1962.7985620336,922.98901222615,1.826753717897,384919.71885746,2012.083822507,821.99462601027,1.7820083924099,134815.86539763,1962.7983044651,922.98954003046,2.21210426544,0.99999906613251,1.0000033973153,0.99985511888701,394316.31948215,1594.7984260959,256856.55253891,19633.894797312,7.6460161663663,1962.7985027436,922.98913372219,1.2389963537429,963799.9017802,1702.2702639046,882.78794983561,1.3997729733779,965660.17027967,3386.025327374,723477.06314232,148962.48452097,4.5478325764462,1772.0000070532,773.1499889101,1.8030220517266,117119.25379839,985878.30500645,2011.628637407,822.92738236267,-8.3758454873821e-319,279960375.39663
171.17733392836,-1.2693796937997e-06,1.3099028278063,19634.447636589,0.00013226253374474,1147.1776325964,112792526.6636,394836.27033376,923.0045907347,387604.60396253,821.99726701127,967992.4559325,773.15039890654,965251.91625002,882.79794295413,0.0038131132203034,-47547.481959934,15500.075054448,-0.0002103765719994,5395.4912665889,148959.26204007,0.00042880445657883,0.075054447825783,279882128.86376,3.1904660712031e-08,-8.2246764988013e-09,4.563594262383e-07,5.9121728768147e-07,1.9626001883338e-07,5.9518914879038e-08,6.153383378296e-09,6.153383378296e-09,279826468.93295,501434.54883282,822.03018170599,152336.46245033,923.0016438462,-1.144054908491e-09,5.9121728768147e-07,0,-247758.77898903,139467.08995802,387225.86894706,2.5577893371242e-07,3.1904660712031e-08,-1.2693796937997e-06,1147.1767556294,18836699.12612,4.563594262383e-07,174,29.301878965,-1659.2533941894,1659.2533992454,280000000,171.17733392836,149232.87529091,1962.7912125325,923.00407267939,2.3151666357986,463274.61362017,2012.0664292255,822.03026798048,0.87278645927734,134908.8961208,1962.7961982354,922.99385607501,2.2121253710566,503987.15341085,2012.0664718837,822.03018056623,0.42948718565408,445988.92065206,2012.0666343804,822.02984758105,0.48180908484611,351293.09432501,1962.7718037494,923.04384477574,0.32298969224716,386051.89672604,2012.0825772485,821.99717776944,1.2086590696751,49.130746791133,115.23264562496,27.923072173314,24.340999628269,3.7246553252685,0.44421653052822,1.3319407835893e+15,3.0237488476366e+14,3.0237374813064e+14,386415.88379409,2012.0821727858,821.99800658655,1.2086590024198,0.61928687676311,129038.21332183,1963.4634692178,921.62649750447,8.4650197944766e-07,1.1192868767631,965645.61653249,1771.9999450408,773.15008641389,1.8029901893226,962808.93425155,1702.2638395488,882.79805102394,1.8768528416522,392293.21839836,1962.7959820226,922.99429913411,1.8267713797585,384926.84386382,2012.082324539,821.99769561678,1.7820247939984,134818.79497343,1962.7962397556,922.99377099262,2.2121251995397,0.99999896441596,1.000003758943,0.99986686161202,394323.60361098,1594.812338725,256860.8763167,19634.447636589,7.6460025021681,1962.7961615011,922.99393135022,1.2390081696139,963799.93295151,1702.2671976112,882.79277105153,1.3997500757,965660.16304384,3385.9651497976,723451.34162284,148959.26204007,4.5476886985521,1772.0000199311,773.14996866187,1.802990108078,117121.93084133,985878.30500645,2011.628637407,822.92738236267,-8.6961976521455e-319,279963508.95289
196.09798184228,-1.021633032247e-06,1.309921423274,19635.427381226,0.00012047293085541,1147.1967646225,112795180.172,394847.12743137,923.00722947383,387615.24122839,821.99949443424,967992.41512259,773.15023455377,965251.91954662,882.8016768838,0.0012772138732089,-47546.299397639,15500.075664273,-0.0035871954703453,5396.4710112258,148960.44460236,0.00040704151198438,0.075664273024484,279889144.31146,3.9745840955236e-08,-8.938827867033e-09,5.2150770976509e-07,3.9946338913637e-07,1.4125340001598e-07,1.8042848946118e-08,-9.9496467943027e-09,-9.9496467943027e-09,279832366.13132,501445.03590379,822.03264869183,152338.98463167,923.00477015616,-1.123928567892e-09,3.9946338913637e-07,0,-247766.82826134,139469.67317402,387236.50143536,1.592962489621e-07,3.9745840955236e-08,-1.021633032247e-06,1147.1962612172,18836798.432407,5.2150770976509e-07,174,33.046744138,-1659.2388406772,1659.2388510305,280000000,196.09798184228,149235.26820182,1962.7896865186,923.00719975698,2.3152065341601,463284.18672862,2012.0653089549,822.03256361694,0.87280144109521,134911.31542197,1962.7946636598,922.99700069711,2.2121634700749,503997.65938208,2012.0652677976,822.0326479558,0.42949460888536,445998.21641854,2012.0655257085,822.03211944985,0.48181735028611,351301.40609811,1962.7704489335,923.04662103792,0.32299524089085,386062.47832174,2012.0816683412,821.99904028438,1.2086798485763,49.1311179413,115.23404793808,27.923421458247,24.34131083311,3.7247030833146,0.44422224172062,1.3319406604995e+15,3.0237498345787e+14,3.0237374813064e+14,386426.4791837,2012.0813662001,821.99965942595,1.2086798850891,0.61930066633235,129040.79327101,1963.4634759887,921.62648362975,4.9628104902869e-07,1.1193006663324,965645.61419545,1772.0001029012,773.14983820565,1.802974746376,962808.97716219,1702.2616829668,882.80144187608,1.8768395537542,392303.98709245,1962.7946806451,922.99696589111,1.8268037132955,384937.38668936,2012.081386072,821.99961870493,1.782055755331,134821.22144893,1962.7947700678,922.99678264802,2.2121634689593,0.99999887200224,1.0000040853411,0.99987933937281,394334.44289965,1594.8387182898,256869.13914508,19635.427381226,7.6460026531517,1962.794749593,922.9968246045,1.2390301619484,963799.95025648,1702.2646636653,882.79675524322,1.3997401677207,965660.16236774,3385.9359191552,723438.83943063,148960.44460236,4.5475352242405,1772.000040316,773.14993661006,1.8029747321265,117124.24558151,985878.30500645,2011.628637407,822.92738236267,-3.6278252242831e-319,279966866.97091
220.98695299905,-8.1831011754718e-07,1.3099370448145,19636.737630206,0.000102524070787,1147.2217900876,112798301.97238,394860.11267209,923.00964030006,387627.93821074,822.00159685418,967992.42539909,773.15013914936,965251.93185908,882.8049960758,-0.00083494783552851,-47542.468539597,15500.076204655,-0.0062517617100184,5397.7812602064,148964.2754604,0.00037325084534032,0.076204654828991,279898476.49701,4.2878275471257e-08,-9.5499696087608e-09,5.8615282571818e-07,2.2986201961234e-07,9.1830670942909e-08,-1.5072094674451e-08,-2.2035058971778e-08,-2.2035058971778e-08,279838564.29955,501457.55858732,822.03490860392,152341.03195271,923.00708268551,-1.1035771640502e-09,2.2986201961234e-07,0,-247777.40107554,139471.79374398,387249.19481952,7.6758576268458e-08,4.2878275471257e-08,-8.1831011754718e-07,1147.2214469134,18836944.834748,5.8615282571818e-07,174,36.063070381,-1659.2379611021,1659.2379631837,280000000,220.98695299905,149237.14917083,1962.7885587102,923.00951083965,2.3152583585557,463295.49877523,2012.0642259307,822.03478292896,0.8728209287924,134913.22375352,1962.7935229131,922.99933829287,2.2122129575506,504010.20662294,2012.0641647142,822.03490837251,0.42950421252477,446009.16040987,2012.0644475793,822.03432873089,0.48182810953845,351311.01115151,1962.769464958,923.04863738117,0.3230024485744,386075.10666337,2012.0805939275,822.00124195175,1.2087068200937,49.131619046115,115.23576752126,27.923918213201,24.341770219048,3.7247747202498,0.44423087716176,1.3319405539933e+15,3.0237506791638e+14,3.0237374813064e+14,386439.12334774,2012.0803882061,822.00166351207,1.208706882248,0.61931264378893,129042.91000129,1963.4634819313,921.62647145233,3.7708538403011e-07,1.1193126437889,965645.62701749,1772.0000783819,773.14987675799,1.8029737427853,962808.98977302,1702.2595678619,882.80476751269,1.8768408419653,392316.85879535,1962.7935117556,922.99936115658,1.8268449445549,384949.96441311,2012.0803883531,822.00166321085,1.7820956010253,134823.12942949,1962.7935911766,922.99919840863,2.2122130132622,0.99999879203912,1.0000043646593,0.99989911881499,394347.40524113,1594.8737210361,256880.29005693,19636.737630206,7.6459970872768,1962.7935541987,922.99927418291,1.2390581503796,963799.95199307,1702.2622550352,882.80054239746,1.3997412177727,965660.1753958,3385.9341693084,723438.09428061,148964.2754604,4.5474111335841,1772.0000265917,773.14995818922,1.8029737569679,117126.1319681,985878.30500645,2011.628637407,822.92738236267,-1.0010659302906e-318,279972179.00363
